#Genus,Species,Strain,NCBI accession,From,To,BGC type,On contig edge,Most similar known cluster,Similarity in %,MIBiG BGC-ID,Results URL,Download URL
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000001.1,64720,76364,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000001.1/64720-76364,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000001/1/64720/76364
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000002.1,97416,121633,lassopeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000002.1/97416-121633,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000002/1/97416/121633
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000007.1,0,21735,t3pks,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000007.1/0-21735,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000007/1/0/21735
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000009.1,26224,49215,lanthipeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000009.1/26224-49215,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000009/1/26224/49215
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000009.1,72976,83273,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000009.1/72976-83273,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000009/1/72976/83273
Streptococcus,pneumoniae,SMRU106,NZ_FDQP01000010.1,59281,77222,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FDQP01000010.1/59281-77222,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900021185.1/NZ_FDQP01000010/1/59281/77222
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000002.1,178795,219992,t3pks,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000002.1/178795-219992,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000002/1/178795/219992
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000004.1,154972,179149,lanthipeptide,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000004.1/154972-179149,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000004/1/154972/179149
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000004.1,199075,211295,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000004.1/199075-211295,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000004/1/199075/211295
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000006.1,101043,109940,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000006.1/101043-109940,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000006/1/101043/109940
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000007.1,46957,64881,bacteriocin,FALSE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000007.1/46957-64881,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000007/1/46957/64881
Streptococcus,pneumoniae,SMRU106,NZ_FCRL01000010.1,0,9787,bacteriocin,TRUE,None,None,None,https://antismash-db.secondarymetabolites.org/go/NZ_FCRL01000010.1/0-9787,https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900022805.1/NZ_FCRL01000010/1/0/9787
